1,1,1,1,*,0,=,0,4,1111*0=0
1,1,1,2,*,0,=,0,5,1112*0=0
1,1,1,3,*,0,=,0,5,1113*0=0
1,1,1,4,*,0,=,0,5,1114*0=0
1,1,1,5,*,0,=,0,5,1115*0=0
1,1,1,6,*,0,=,0,5,1116*0=0
1,1,1,7,*,0,=,0,5,1117*0=0
1,1,1,8,*,0,=,0,5,1118*0=0
1,1,1,9,*,0,=,0,5,1119*0=0
1,1,1,0,*,0,=,0,4,1110*0=0
1,1,1,*,0,0,=,0,4,111*00=0
1,1,1,*,0,=,0,0,4,111*0=00
1,1,1,*,+,0,=,0,5,111*+0=0
1,1,1,*,-,0,=,0,5,111*-0=0
1,1,1,*,*,0,=,1,4,111**0=1
1,1,1,/,3,7,=,3,5,111/37=3
1,1,1,/,3,=,3,7,5,111/3=37
1,1,2,1,*,0,=,0,5,1121*0=0
1,1,2,2,*,0,=,0,5,1122*0=0
1,1,2,3,*,0,=,0,6,1123*0=0
1,1,2,4,*,0,=,0,6,1124*0=0
1,1,2,5,*,0,=,0,6,1125*0=0
1,1,2,6,*,0,=,0,6,1126*0=0
1,1,2,7,*,0,=,0,6,1127*0=0
1,1,2,8,*,0,=,0,6,1128*0=0
1,1,2,9,*,0,=,0,6,1129*0=0
1,1,2,0,*,0,=,0,5,1120*0=0
1,1,2,*,0,0,=,0,5,112*00=0
1,1,2,*,0,=,0,0,5,112*0=00
1,1,2,*,+,0,=,0,6,112*+0=0
1,1,2,*,-,0,=,0,6,112*-0=0
1,1,2,*,*,0,=,1,5,112**0=1
1,1,2,/,1,4,=,8,6,112/14=8
1,1,2,/,1,6,=,7,6,112/16=7
1,1,2,/,2,8,=,4,6,112/28=4
1,1,2,/,2,=,5,6,6,112/2=56
1,1,2,/,4,=,2,8,6,112/4=28
1,1,2,/,5,6,=,2,6,112/56=2
1,1,2,/,7,=,1,6,6,112/7=16
1,1,2,/,8,=,1,4,6,112/8=14
1,1,3,1,*,0,=,0,5,1131*0=0
1,1,3,2,*,0,=,0,6,1132*0=0
1,1,3,3,*,0,=,0,5,1133*0=0
1,1,3,4,*,0,=,0,6,1134*0=0
1,1,3,5,*,0,=,0,6,1135*0=0
1,1,3,6,*,0,=,0,6,1136*0=0
1,1,3,7,*,0,=,0,6,1137*0=0
1,1,3,8,*,0,=,0,6,1138*0=0
1,1,3,9,*,0,=,0,6,1139*0=0
1,1,3,0,*,0,=,0,5,1130*0=0
1,1,3,*,0,0,=,0,5,113*00=0
1,1,3,*,0,=,0,0,5,113*0=00
1,1,3,*,+,0,=,0,6,113*+0=0
1,1,3,*,-,0,=,0,6,113*-0=0
1,1,3,*,*,0,=,1,5,113**0=1
1,1,4,1,*,0,=,0,5,1141*0=0
1,1,4,2,*,0,=,0,6,1142*0=0
1,1,4,3,*,0,=,0,6,1143*0=0
1,1,4,4,*,0,=,0,5,1144*0=0
1,1,4,5,*,0,=,0,6,1145*0=0
1,1,4,6,*,0,=,0,6,1146*0=0
1,1,4,7,*,0,=,0,6,1147*0=0
1,1,4,8,*,0,=,0,6,1148*0=0
1,1,4,9,*,0,=,0,6,1149*0=0
1,1,4,0,*,0,=,0,5,1140*0=0
1,1,4,*,0,0,=,0,5,114*00=0
1,1,4,*,0,=,0,0,5,114*0=00
1,1,4,*,+,0,=,0,6,114*+0=0
1,1,4,*,-,0,=,0,6,114*-0=0
1,1,4,*,*,0,=,1,5,114**0=1
1,1,4,/,1,9,=,6,6,114/19=6
1,1,4,/,2,=,5,7,7,114/2=57
1,1,4,/,3,8,=,3,6,114/38=3
1,1,4,/,3,=,3,8,6,114/3=38
1,1,4,/,5,7,=,2,7,114/57=2
1,1,4,/,6,=,1,9,6,114/6=19
1,1,5,1,*,0,=,0,5,1151*0=0
1,1,5,2,*,0,=,0,6,1152*0=0
1,1,5,3,*,0,=,0,6,1153*0=0
1,1,5,4,*,0,=,0,6,1154*0=0
1,1,5,5,*,0,=,0,5,1155*0=0
1,1,5,6,*,0,=,0,6,1156*0=0
1,1,5,7,*,0,=,0,6,1157*0=0
1,1,5,8,*,0,=,0,6,1158*0=0
1,1,5,9,*,0,=,0,6,1159*0=0
1,1,5,0,*,0,=,0,5,1150*0=0
1,1,5,*,0,0,=,0,5,115*00=0
1,1,5,*,0,=,0,0,5,115*0=00
1,1,5,*,+,0,=,0,6,115*+0=0
1,1,5,*,-,0,=,0,6,115*-0=0
1,1,5,*,*,0,=,1,5,115**0=1
1,1,5,/,2,3,=,5,6,115/23=5
1,1,5,/,5,=,2,3,6,115/5=23
1,1,6,1,*,0,=,0,5,1161*0=0
1,1,6,2,*,0,=,0,6,1162*0=0
1,1,6,3,*,0,=,0,6,1163*0=0
1,1,6,4,*,0,=,0,6,1164*0=0
1,1,6,5,*,0,=,0,6,1165*0=0
1,1,6,6,*,0,=,0,5,1166*0=0
1,1,6,7,*,0,=,0,6,1167*0=0
1,1,6,8,*,0,=,0,6,1168*0=0
1,1,6,9,*,0,=,0,6,1169*0=0
1,1,6,0,*,0,=,0,5,1160*0=0
1,1,6,*,0,0,=,0,5,116*00=0
1,1,6,*,0,=,0,0,5,116*0=00
1,1,6,*,+,0,=,0,6,116*+0=0
1,1,6,*,-,0,=,0,6,116*-0=0
1,1,6,*,*,0,=,1,5,116**0=1
1,1,6,/,2,9,=,4,7,116/29=4
1,1,6,/,2,=,5,8,7,116/2=58
1,1,6,/,4,=,2,9,7,116/4=29
1,1,6,/,5,8,=,2,7,116/58=2
1,1,7,1,*,0,=,0,5,1171*0=0
1,1,7,2,*,0,=,0,6,1172*0=0
1,1,7,3,*,0,=,0,6,1173*0=0
1,1,7,4,*,0,=,0,6,1174*0=0
1,1,7,5,*,0,=,0,6,1175*0=0
1,1,7,6,*,0,=,0,6,1176*0=0
1,1,7,7,*,0,=,0,5,1177*0=0
1,1,7,8,*,0,=,0,6,1178*0=0
1,1,7,9,*,0,=,0,6,1179*0=0
1,1,7,0,*,0,=,0,5,1170*0=0
1,1,7,*,0,0,=,0,5,117*00=0
1,1,7,*,0,=,0,0,5,117*0=00
1,1,7,*,+,0,=,0,6,117*+0=0
1,1,7,*,-,0,=,0,6,117*-0=0
1,1,7,*,*,0,=,1,5,117**0=1
1,1,7,/,1,3,=,9,6,117/13=9
1,1,7,/,3,9,=,3,6,117/39=3
1,1,7,/,3,=,3,9,6,117/3=39
1,1,7,/,9,=,1,3,6,117/9=13
1,1,8,1,*,0,=,0,5,1181*0=0
1,1,8,2,*,0,=,0,6,1182*0=0
1,1,8,3,*,0,=,0,6,1183*0=0
1,1,8,4,*,0,=,0,6,1184*0=0
1,1,8,5,*,0,=,0,6,1185*0=0
1,1,8,6,*,0,=,0,6,1186*0=0
1,1,8,7,*,0,=,0,6,1187*0=0
1,1,8,8,*,0,=,0,5,1188*0=0
1,1,8,9,*,0,=,0,6,1189*0=0
1,1,8,0,*,0,=,0,5,1180*0=0
1,1,8,*,0,0,=,0,5,118*00=0
1,1,8,*,0,=,0,0,5,118*0=00
1,1,8,*,+,0,=,0,6,118*+0=0
1,1,8,*,-,0,=,0,6,118*-0=0
1,1,8,*,*,0,=,1,5,118**0=1
1,1,8,/,2,=,5,9,7,118/2=59
1,1,8,/,5,9,=,2,7,118/59=2
1,1,9,1,*,0,=,0,5,1191*0=0
1,1,9,2,*,0,=,0,6,1192*0=0
1,1,9,3,*,0,=,0,6,1193*0=0
1,1,9,4,*,0,=,0,6,1194*0=0
1,1,9,5,*,0,=,0,6,1195*0=0
1,1,9,6,*,0,=,0,6,1196*0=0
1,1,9,7,*,0,=,0,6,1197*0=0
1,1,9,8,*,0,=,0,6,1198*0=0
1,1,9,9,*,0,=,0,5,1199*0=0
1,1,9,0,*,0,=,0,5,1190*0=0
1,1,9,*,0,0,=,0,5,119*00=0
1,1,9,*,0,=,0,0,5,119*0=00
1,1,9,*,+,0,=,0,6,119*+0=0
